Chipset Vendor,Model Series,Model No.,Antenna,SoCset,Max Range (m),Max Length (mm),Mid Length (mm),Min Length (mm),Flash (KB),RAM (KB),Reception Sensitivity (dBm),"Transmission Power (min, dBm)","Transmission Power (max, dBm)","Current (TX, mA)","Current (RX, mA)",GPIO,Certification
Nordic,MS50SF7 Series,MS50SF71,PCB,nRF52832,80,9.8,8.4,2,512,64,-96,-40,4,5.3,5.4,24,#N/A
Nordic,MS51SF1 Series,MS51SF11,PCB,nRF52833,80,9.8,8.4,2,512,128,-96,-40,8,4.9,4.6,20,#N/A
Nordic,MS46SF1 Series,MS46SF11,PCB,nRF52805,80,15.8,12,2,192,24,-97,-40,4,4.6,4.6,6,"REACH,FCC,CE,IC,RoHS,BQB"
Nordic,MS50SFA Series,MS50SFA1,PCB,nRF52832,80,15.8,12,2,512,64,-96,-40,4,5.3,5.4,13,"BQB,FCC,CE,KC,RoHS,REACH,SRRC,TELEC,EN50498"
Nordic,MS50SFA Series,MS50SFA1,PCB,nRF52810,80,15.8,12,2,192,24,-96,-40,4,4.6,4.6,13,"BQB,FCC,CE,KC,RoHS,REACH,SRRC,TELEC,EN50498"
Nordic,MS50SFA Series,MS50SFA2,Ceramic,nRF52832,80,15.8,12,2,512,64,-96,-40,4,5.3,5.4,13,"BQB,FCC,CE,SRRC,RoHS,REACH,TELEC,KC,EN50498"
Nordic,MS50SFA Series,MS50SFA2,Ceramic,nRF52810,80,15.8,12,2,192,24,-96,-40,4,4.6,4.6,13,"BQB,FCC,CE,SRRC,RoHS,REACH,TELEC,KC,EN50498"
Nordic,MS45SF1 Series,MS45SF11 (A),PCB,nRF5340,300,18.5,12.5,2,1024,512,-104,-40,3,3.2,2.6,48,"FCC,CE"
Nordic,MS45SF1 Series,MS45SF11 (B),PCB,nRF5340,300,18.5,12.5,2,256,64,-98,-40,3,3.2,2.6,48,"FCC,CE"
Nordic,MS88SF3 Series,MS88SF31 (A),PCB,nRF52840,300,18.5,12.5,2,1024,256,-103,-40,8,4.9,4.6,48,"CE,FCC,BQB,RoHS,REACH"
Nordic,MS88SF3 Series,MS88SF31 (B),PCB,nRF52840,300,18.5,12.5,2,1024,256,-95,-40,8,4.9,4.6,48,"CE,FCC,BQB,RoHS,REACH"
Nordic,MS88SF3 Series,MS88SF31 (A),PCB,nRF52833,300,18.5,12.5,2,512,128,-103,-40,8,4.8,4.6,42,"CE,FCC,BQB,RoHS,REACH"
Nordic,MS88SF3 Series,MS88SF31 (B),PCB,nRF52833,300,18.5,12.5,2,512,128,-96,-40,8,4.8,4.6,42,"CE,FCC,BQB,RoHS,REACH"
Nordic,MS44SF1 Series,MS44SF11 (A),PCB,nRF52820,600,20,12,2,256,32,-103,-40,8,4.9,4.7,16,BQB
Nordic,MS44SF1 Series,MS44SF11 (B),PCB,nRF52820,600,20,12,2,256,32,-95,-40,8,4.9,4.7,16,BQB
Nordic,MS50SFB Series,MS50SFB1,PCB,nRF52832,80,20,12,2,512,64,-96,-40,4,5.3,5.4,30,"BQB,FCC,CE,IC,KC,TELEC,WPC,RCM,RoHS,REACH,SRRC,WEEE,EN50498"
Nordic,MS50SFB Series,MS50SFB1,PCB,nRF52810,80,20,12,2,192,24,-96,-40,4,4.6,4.6,30,"BQB,FCC,CE,IC,KC,TELEC,WPC,RCM,RoHS,REACH,SRRC,WEEE,EN50498"
Nordic,MS50SFB Series,MS50SFB2,Ceramic,nRF52832,80,20,12,2,512,64,-96,-40,4,5.3,5.4,30,"BQB,FCC,CE,IC,TELEC,WPC,RCM,KC,RoHS,REACH,UKCA,SRRC,WEEE,EN50498"
Nordic,MS50SFB Series,MS50SFB2,Ceramic,nRF52810,80,20,12,2,192,24,-96,-40,4,4.6,4.6,30,"BQB,FCC,CE,IC,TELEC,WPC,RCM,KC,RoHS,REACH,UKCA,SRRC,WEEE,EN50498"
Nordic,MS50SFB Series,MS50SFB3,IPEX(U.FL),nRF52832,80,20,12,2,512,64,-96,-40,4,5.3,5.4,30,"BQB,FCC,CE,IC,KC,TELEC,WPC,RCM,RoHS,REACH,EN50498,WEEE"
Nordic,MS50SFB Series,MS50SFB3,IPEX(U.FL),nRF52811,80,20,12,2,192,24,-96,-40,4,4.6,4.6,30,"BQB,FCC,CE,IC,KC,TELEC,WPC,RCM,RoHS,REACH,EN50498,WEEE"
Nordic,MS50SFB Series,MS50SFB3,IPEX(U.FL),nRF52810,80,20,12,2,192,24,-104,-40,4,4.6,4.6,30,"BQB,FCC,CE,IC,KC,TELEC,WPC,RCM,RoHS,REACH,EN50498,WEEE"
Nordic,MS88SF2 Series,MS88SF21 (A),PCB,nRF52840,300,23.2,17.4,2,1024,256,-103,-40,8,4.9,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH,SRRC"
Nordic,MS88SF2 Series,MS88SF21 (B),PCB,nRF52840,300,23.2,17.4,2,1024,256,-95,-40,8,4.9,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH,SRRC"
Nordic,MS88SF2 Series,MS88SF21 (A),PCB,nRF52833,300,23.2,17.4,2,512,128,-103,-40,8,4.8,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH,SRRC"
Nordic,MS88SF2 Series,MS88SF21 (B),PCB,nRF52833,300,23.2,17.4,2,512,128,-96,-40,8,4.8,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH,SRRC"
Nordic,MS88SF2 Series,MS88SF23 (A),IPEX(U.FL),nRF52840,300,23.2,17.4,2,1024,256,-103,-40,8,4.9,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH"
Nordic,MS88SF2 Series,MS88SF23 (B),IPEX(U.FL),nRF52840,300,23.2,17.4,2,1024,256,-95,-40,8,4.9,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH"
Nordic,MS88SF2 Series,MS88SF23 (A),IPEX(U.FL),nRF52833,300,23.2,17.4,2,512,128,-103,-40,8,4.8,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH"
Nordic,MS88SF2 Series,MS88SF23 (B),IPEX(U.FL),nRF52833,300,23.2,17.4,2,512,128,-96,-40,8,4.8,4.6,20,"BQB,FCC,CE,IC,TELEC,WPC,RCM,RoHS,REACH"
Nordic,MS88SFA Series,MS88SFA8,PCB/IPEX,nRF52840,600,23.2,17.4,2,1024,256,-96,#N/A,20,150,#N/A,29,"CE,FCC,REACH,RoHS"
Nordic,MS88SFA Series,MS88SFA8,PCB/IPEX,nRF52833,600,23.2,17.4,2,512,128,-96,#N/A,20,150,#N/A,29,"CE,FCC,REACH,RoHS"
Nordic,MS88SFB Series,MS88SFB8,PCB/IPEX,nRF52833,600,23.2,17.4,2,512,128,-96,#N/A,20,200,#N/A,29,"REACH,RoHS"
Nordic,MS88SFB Series,MS88SFB8,PCB/IPEX,nRF52840,600,23.2,17.4,2,1024,256,-96,#N/A,20,200,#N/A,29,"REACH,RoHS"
Nordic,ME54 Series,ME54BS01,PCB,nRF54L15,170,23.2,17.4,2,1536,256,-98,-8,8,5,3.2,19,#N/A
Nordic,ME54 Series,ME54BS02,PCB,nRF54H20,#N/A,16.5,12,2,2048,1024,-100,#N/A,10,2.5,5.6,64,#N/A
Telink,MS52SF1 Series,MS52SF11,PCB,TLSR8208,80,15.8,12,2,128,16,-97,-45,10,9.5,9.1,14,"SRRC,BQB,FCC,CE,REACH,RoHS"
Telink,MS52SF2 Series,MS52SF21,PCB,TLSR8208,80,20,12,2,128,16,-97,-45,10,9.5,9.1,15,#N/A
STMicroelectronics,MS53SF1 Series,MS53SF11,PCB,BlueNRG-355M,300,20,12,2,256,64,-97,-20,8,4.3,3.4,25,#N/A
STMicroelectronics,MS53SF2 Series,MS53SF21,PCB,BlueNRG-332AC,500,20,12,2,192,24,-97,-20,8,4.3,3.4,19,#N/A
INPLAY,MS56SFA Series,MS56SFA1,PCB,IN610,80,23.2,17.4,2,512,256,-97.5,-35,3,4.1,5,24,#N/A
INPLAY,MS56SFA Series,MS56SFA1,PCB,IN628E,80,23.2,17.4,2,512,384,-97.5,-35,3,4.1,5,24,#N/A
INPLAY,MS56SFB Series,MS56SFB1,PCB,IN610,400,23.2,17.4,2,512,256,-97.5,#N/A,13,22,5,24,#N/A
INPLAY,MS56SFB Series,MS56SFB1,PCB,IN628E,400,23.2,17.4,2,512,384,-97.5,#N/A,13,22,5,24,#N/A
Telink,ME52 Series,ME52BS01,PCB/IPEX,TLSR8258,60,20,12.7,2,512,64,-96,-45,10,4.8,5.3,14,#N/A
OnMicro,ME52 Series,ME52BS02,PCB,OM6626,80,15.8,12,2,1024,80,-99,-30,8,4.2,3.4,15,#N/A
